date,startup,vertical,subvertical,city,investors,round,amount
05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bengaluru,Rainmatter,Seed Funding,1.91
08-05-2017,YepMe,E-Commerce,Private Label Fashion E-Tailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,5.74
08-05-2017,MyGreens,Food & Beverages,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,8.2
08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bengaluru,"Vertex Ventures, C31 Ventures",Private Equity,41
08-05-2017,CureFit,Technology,Health-Tech Platform,Bengaluru,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,26.24
09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,0.41
10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,11.48
10-05-2017,Shopclues,E-Commerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,63.13
10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed Funding,4.92
11-05-2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,32.8
12-05-2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,41
12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,3.82
12-05-2017,Aequm,E-Commerce,Cloud E-Commerce platform,Bengaluru,undisclosed investors,Seed Funding,8.2
15-05-2017,Zapty,Technology,Project Management tool,Bengaluru,IdeaSpring Capital,Seed Funding,4.1
16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,24.6
16-05-2017,Fynd,E-Commerce,Fashion E-Commerce Portal,Mumbai,Rocketship,Private Equity,4.1
17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,2.05
